"","BE010101","BE010102","BE010103","BE010104","BE010105","BE010106","BE010107","BE010108","BE010109","BE010110","BE010111","BE010112","BE010113","BE010114","BE010115","BE010116","BE010117","BE010118","BE010119"
"NÚMERO SECUENCIAL",586293,586294,586295,586292,586296,586297,1626652,586291,601280,601281,601279,601272,601274,601273,601277,721776,585826,722383,675923
"DESCRIPCIÓN DE LA SERIE","UEM.Consumo Privado.Tasa de variación interanual","UEM.Consumo Público.Tasa de variación interanual","UEM.Formación Bruta de Capital Fijo.Tasa de variación interanual","UEM.Demanda interior.Tasa de variación interanual","UEM.Exportaciones de bienes y servicios.Tasa de variación interanual","UEM.Importaciones de bienes y servicios.Tasa de variación interanual","UEM.Saldo neto exterior.Precios constantes.Porcentaje del PIB","UEM.PIB.Tasa de variación interanual","UEM.Consumo Privado.Deflactor.Tasa de variación interanual","UEM.Consumo Público.Deflactor.Tasa de variación interanual","UEM.PIB.Deflactor.Tasa de variación interanual","UEM.Remuneración por asalariado.Tasa de variación interanual","UEM.Productividad laboral.Tasa de variación interanual","UEM.Coste laboral unitario.Tasa de variación interanual","UEM.Población ocupada.Tasa de variación interanual","UEM.Población ocupada en la industria.Tasa de variación interanual","UEM.PIB.Tasa de desempleo.Tasa de variación interanual","UEM.  NUMERO DE DESEMPLEADOS","UEM. BALANZA POR CUENTA CORRRIENTE"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Millones de Personas","Millones de Euros"
"1981 ENE","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1981 FEB","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1981 MAR","_","_","_","_","_","_","_","_","_","_","_","_","_","_",0.06,-1.69,"_","_","_"
"1981 ABR","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1981 MAY","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"1981 JUN","_","_","_","_","_","_","_","_","_","_","_","_","_","_",-0.29,-2.38,"_","_","_"
"1981 JUL","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
