"","BE010201","BE010202","BE010203","BE010204","BE010205","BE010206","BE010207","BE010208","BE010209","BE010210","BE010211","BE010212","BE010213","BE010214","BE010215","BE010216","BE010217","BE010218","BE010219","BE010220","BE010221","BE010222"
"NÚMERO SECUENCIAL",850267,850268,850269,850270,850271,850272,850273,850274,850275,850276,850277,850278,850279,850280,850281,850283,850284,850285,850286,850287,850288,850289
"DESCRIPCIÓN DE LA SERIE","IAPC.UEM.General.Tasa de variación interanual","IAPC.UEM.Bienes.Tasa de variación interanual","IAPC.UEM.Alimentos.Tasa de variación interanual","IAPC.UEM.Alimentos elaborados.Tasa de variación interanual","IAPC.UEM.Alimentos no elaborados.Tasa de variación interanual","IAPC.UEM.Bienes industriales.Tasa de variación interanual","IAPC.UEM.Bienes industriales sin productos energéticos.Tasa de variación interanual","IAPC.UEM.Energía.Tasa de variación interanual","IAPC.UEM.Servicios.Tasa de variación interanual","IPRI.UEM.General.Tasa de variación interanual","IPRI.UEM.Bienes de consumo.Tasa de variación interanual","IPRI.UEM.Bienes de equipo.Tasa de variación interanual","IPRI.UEM.Bienes intermedios no energéticos.Tasa de variación interanual","IPRI.UEM.Energía.Tasa de variación interanual","UEM. Variaciones del patrimonio neto. Ahorro bruto. Todos los sectores. % PIB","UEM. Variaciones del patrimonio neto. Transferencias netas de capital a cobrar. Todos los sectores. % PIB","UEM. Pasivos netos contraídos. Total. Todos los sectores. % PIB","UEM. Pasivos netos contraídos. Efectivo y depósitos. Todos los sectores. % PIB","UEM. Pasivos netos contraídos. Valores distintos de acciones. Todos los sectores. % PIB","UEM. Pasivos netos contraídos. Préstamos. Todos los sectores. % PIB","UEM. Pasivos netos contraídos. Acciones y participaciones. Todos los sectores. % PIB","UEM. Pasivos netos contraídos. Reservas técnicas de seguro. Todos los sectores. % PIB"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"1995",6.4,20.0,-13.9,0.2,0.0,46.0,0.1,13.9,7.5,12.0,6.4,4.3,1.9,7.8,7.5,0.3,44.6,13.5,8.7,11.1,6.9,4.4
"1996",5.6,19.8,-13.9,-0.3,0.0,35.9,-0.1,8.0,7.9,6.5,8.2,3.5,1.8,7.4,7.2,0.3,34.1,9.3,7.1,5.8,8.4,3.5
"1997",5.8,19.7,-13.8,-0.1,0.0,38.7,-0.0,7.7,6.3,8.2,11.2,3.9,1.4,8.1,7.7,0.4,36.5,9.6,5.7,7.2,10.0,4.0
"1998",6.7,20.1,-13.8,0.4,0.0,47.0,0.2,8.0,8.1,8.6,17.5,3.7,0.8,8.3,7.9,0.4,45.4,11.2,6.3,8.6,15.6,3.8
"1999",7.1,20.7,-13.8,0.2,0.0,53.8,-0.0,9.0,8.8,12.8,18.5,4.2,0.4,8.2,7.8,0.3,52.7,13.4,8.9,12.2,14.0,4.3
"2000",7.5,21.2,-13.9,0.3,-0.1,50.7,-0.0,5.5,5.2,11.8,23.5,3.8,0.9,8.0,7.7,0.3,50.2,7.6,7.1,13.3,18.3,3.9
"2001",6.6,20.7,-13.9,-0.3,0.0,41.3,0.0,8.4,8.2,9.9,11.6,3.7,-0.4,7.1,6.8,0.3,40.8,8.8,7.0,9.3,11.7,3.8
"2002",5.6,19.9,-13.9,-0.4,0.0,35.7,-0.0,11.1,5.3,7.2,8.5,3.2,0.5,6.8,6.6,0.3,34.5,8.8,6.2,7.5,8.8,3.2
"2003",5.8,19.7,-13.8,-0.1,0.0,38.0,-0.0,9.8,7.8,8.5,8.4,3.2,0.2,6.5,6.1,0.4,37.3,9.1,7.7,7.9,9.3,3.4
"2004",6.4,19.9,-13.8,0.3,-0.0,39.9,-0.0,12.4,7.9,9.0,7.0,3.4,0.2,7.1,6.8,0.4,39.2,13.5,8.2,6.8,7.3,3.4
